Archivo,Profesor,Grupo,Materia,Horas_Semana,Dia,Hora_Inicio,Hora_Fin,Bloque_Horario,Salon,Tipo_Salon,Piso,Es_Invalido,Es_Primer_Semestre
01_Horario_Inicial,1 [] [] SIN PROFESOR ASIGNADO,1502/E,FUNDAMENTOS DE PROGRAMACIÓN,5,Martes,16:17,16:18,1617,LCA,Laboratorio,Segundo Piso,0,1
01_Horario_Inicial,1 [] [] SIN PROFESOR ASIGNADO,1502/E,FUNDAMENTOS DE PROGRAMACIÓN,5,Miercoles,16:17,16:18,1617,FF2,Teoría,Planta Baja,0,1
01_Horario_Inicial,1 [] [] SIN PROFESOR ASIGNADO,1502/E,FUNDAMENTOS DE PROGRAMACIÓN,5,Jueves,16:17,16:18,1617,LCA,Laboratorio,Segundo Piso,0,1
01_Horario_Inicial,1 [] [] SIN PROFESOR ASIGNADO,1502/E,FUNDAMENTOS DE PROGRAMACIÓN,5,Viernes,16:17,16:18,1617,LCA,Laboratorio,Segundo Piso,0,1
01_Horario_Inicial,1 [] [] SIN PROFESOR ASIGNADO,4542/B,ALGORITMOS Y LENGUAJES DE PROGRAMACIÓN,4,Lunes,16:17,16:18,1617,FF1,Teoría,Planta Baja,0,0
01_Horario_Inicial,1 [] [] SIN PROFESOR ASIGNADO,4542/B,ALGORITMOS Y LENGUAJES DE PROGRAMACIÓN,4,Martes,16:17,16:18,1617,LR,Laboratorio,Primer Piso,0,0
01_Horario_Inicial,1 [] [] SIN PROFESOR ASIGNADO,4542/B,ALGORITMOS Y LENGUAJES DE PROGRAMACIÓN,4,Miercoles,16:17,16:18,1617,FF1,Teoría,Planta Baja,0,0
01_Horario_Inicial,1 [] [] SIN PROFESOR ASIGNADO,4542/B,ALGORITMOS Y LENGUAJES DE PROGRAMACIÓN,4,Jueves,16:17,16:18,1617,LR,Laboratorio,Primer Piso,0,0
01_Horario_Inicial,1 [] [] SIN PROFESOR ASIGNADO,5505/C,GRAFICACIÓN,4,Lunes,17:18,17:19,1718,LR,Laboratorio,Primer Piso,0,0
01_Horario_Inicial,1 [] [] SIN PROFESOR ASIGNADO,5505/C,GRAFICACIÓN,4,Martes,17:18,17:19,1718,FF7,Teoría,Planta Baja,0,0
01_Horario_Inicial,1 [] [] SIN PROFESOR ASIGNADO,5505/C,GRAFICACIÓN,4,Miercoles,17:18,17:19,1718,LR,Laboratorio,Primer Piso,0,0
01_Horario_Inicial,1 [] [] SIN PROFESOR ASIGNADO,5505/C,GRAFICACIÓN,4,Jueves,17:18,17:19,1718,FF7,Teoría,Planta Baja,0,0
