Grupo,Materia.,Lunes,Martes,Miercoles,Jueves,Viernes,Class
1 [] [] SIN PROFESOR ASIGNADO,,,,,,,
850M/A,PROGRAMACIÓN NATIVA PARA MÓVILES,0910/FFD,0910/LBD,0910/FFD,0910/LBD,0910/FFD,5
750I/B,TECNOLOGÍAS DE SERVICIOS WEB,1011/FF5,1011/LCA,1011/FF5,1011/LCA,1011/LCA,5
750H/B,ANÁLISIS Y DISEÑO DE ALGORITMOS,1617/FFB,1617/FFB,1617/FFB,1617/FFB,1617/FFB,5
850O/B,TECNOLOGÍAS DE APLICACIONES WEB,1718/FF3,1718/LBD2,1718/FF3,1718/LBD2,1718/FF3,5
,,,,,,,
PROFESOR 19,,,,,,,
8501/C,PROGRAMACIÓN LÓGICA Y FUNCIONAL,1112/FFC,1112/FFB,1112/FFC,1112/FFB,,4
8501/B,PROGRAMACIÓN LÓGICA Y FUNCIONAL,1213/LCG2,1213/FF7,1213/LCG2,1213/FF7,,4
8501/A,PROGRAMACIÓN LÓGICA Y FUNCIONAL,1314/FF6,1314/FF6,1314/FF6,1314/FF6,,4
,,,,,,,
PROFESOR 20,,,,,,,
8504/A,ADMINISTRACIÓN DE REDES,0708/FF7,0708/LR,0708/FF7,0708/LR,,4
6503/B,REDES DE COMPUTADORAS,0809/FF7,0809/LR,0809/FF7,0809/LR,0809/LR,5
,,,,,,,
PROFESOR 21,,,,,,,
1502/A,FUNDAMENTOS DE PROGRAMACIÓN,0809/FFA,0809/FFA,0809/FFA,0809/FFA,0809/FFA,5
6505/A,SIMULACIÓN,1011/LSO,1011/FFD,1011/LSO,1011/FFD,1011/LR,5
6505/C,SIMULACIÓN,1112/LSO,1112/FF7,1112/LSO,1112/FF7,1112/FF7,5
6505/B,SIMULACIÓN,1415/FFA,1415/LSO,1415/FFA,1415/LSO,1415/LSO,5
,,,,,,,
PROFESOR 22,,,,,,,
2531/AA,PROGRAMACIÓN,0708/LIA,0708/LSO,0708/LIA,0708/LSO,,4
2531/BA,PROGRAMACIÓN,0910/LBD,0910/FF2,0910/LBD,0910/FF2,,4
3566/C,PROGRAMACIÓN,1213/FF8,1213/LR,1213/FF8,1213/LR,,4
4542/D,ALGORITMOS Y LENGUAJES DE PROGRAMACIÓN,1314/FF5,1314/LCG1,1314/FF5,1314/LCG1,,4
1502/EA,FUNDAMENTOS DE PROGRAMACIÓN,1415/FFB,1415/LBD,1415/FFB,1415/LBD,1415/LBD,5
,,,,,,,
PROFESOR 23,,,,,,,
1561/B,CÁLCULO DIFERENCIAL,0910/E11,0910/E11,0910/E11,0910/E11,0910/E11,5
1504/A,MATEMÁTICAS DISCRETAS,1011/FF2,1011/FF2,1011/FF2,1011/FF2,1011/FF2,5
850O/A,TECNOLOGÍAS DE APLICACIONES WEB,1415/LIA,1415/FFA,1415/LIA,1415/FFA,1415/FFA,5
1504/F,MATEMÁTICAS DISCRETAS,1516/FF7,1516/FF7,1516/FF7,1516/FF7,1516/FF7,5
,,,,,,,
PROFESOR 24,,,,,,,
7503/A,CONMUTACIÓN Y ENRUTAMIENTO EN REDES DE DATOS,0910/LCG2,0910/FF6,0910/LCG2,0910/FF6,0910/LCG2,5
7503/B,CONMUTACIÓN Y ENRUTAMIENTO EN REDES DE DATOS,1011/LR,1011/FFC,1011/LR,1011/FFC,1011/LBD2,5
3556/D,PROGRAMACIÓN ESTRUCTURADA,1718/LCG2,1718/FFA,1718/LCG2,1718/FFA,1718/LCG2,5
